Category,Key,English,Korean,Notes
,modWebsiteButton,Website,웹사이트, WARNING: ENGLISH PLACEHOLDER #####################################################
credits,cr1,Backpack Hero was created by:,백팩 히어로 제작:,
,cr2,Translators:,번역:,
,cr3,Additional content by:,추가 콘텐츠 기여:,
,cr4,All rights owned by:,모든 권한 소유:,
,cr5,Fonts:,글꼴:,
,cr6,Created with:,제작 도구:,
,cr7,Special Thanks:,특별히 감사드립니다,
,cr-kickstarter,Kickstarter supporters:,Kickstarter 후원자:, WARNING: ENGLISH PLACEHOLDER #####################################################
Save Slots,storySave1,Game,게임, WARNING: ENGLISH PLACEHOLDER #####################################################
,storySave2,items discovered,발견한 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,storySave3,missions complete,완료한 미션, WARNING: ENGLISH PLACEHOLDER #####################################################
,storyExplanation,In Haversack Hill,헤이버색 힐에서, WARNING: ENGLISH PLACEHOLDER #####################################################
Twitch,twitch1,Twitch Options,트위치 환경설정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitch2,Authenticate,인증, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitch2b,Clear Auth Data,인증 데이터 제거, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,twitch3,Enable Integration,통합 활성화, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,twitch4a,Twitch is enabled!,트위치가 활성화되었습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitch4b,Twitch is disabled!,트위치가 비활성화되었습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchEX,Authentication required,인증 필요, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchAU,Authorizing Twitch,트위치 인증 중, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchAE,Twitch is already authenticated. Clear data first,트위치가 이미 인증되었습니다. 먼저 데이터를 제거하세요., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTPolls,Enable Polls,투표 활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTDeathCounter,Enable Death Counter,데스 카운터 활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTEmoteEffect,Enable Emote Effect,이모티콘 효과 활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLGeneral,General Settings,일반 설정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLPolls,Poll Settings,투표 설정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLPresets,Presets,프리셋, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTDisableLoot,Disable regular combat rewards,일반 전투 보상 비활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLPollLength,Poll length in seconds,투표 시간 (초), WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLPollCount,Polls per combat,전투당 투표, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLPositive,Positive,긍정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLNegative,Negative,부정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchLSpecial,Special,특수, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTItems,Specific Items,특정 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTItemsType,Items By Type,종류별 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTItemsRarity,Items By Rarity,희귀도별 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTStatusPlayer,Status Effects (Player),상태 효과 (플레이어), WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTStatusEnemy,Status Effects (Enemy),상태 효과 (적), WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTBlessings,Blessings,축복, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTHazards,Hazards,위험 요소, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTCurses,Curses,저주, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTDecideBoss,Decide Boss,보스 결정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchTDecideRelic,Decide Relics,유물 결정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetCustom,Custom,맞춤 설정, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetAllEnabled,All Enabled,모두 활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetOnlyNegative,Chat is your enemy,나쁜 효과만, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetOnlyPositive,Chat is your friend,좋은 효과만, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetChatLootOnly,Chat Loot Only,아이템만, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPresetStatus,Through the fire and rage,효과만, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchStatus,Status:  /x ,상태: /x , WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSNoAuth,Not Authenticated,인증되지 않음, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSNotConnected,Not Connected,연결되지 않음, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSConnectedTo,You’re all set! Connected to /y.,/y 에 연결했습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSAuthenticating,Authenticating…,인증 중..., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSConnecting,Connecting…,연결 중..., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSLoggedIn,"Logged In, but not connected.",로그인했지만 연결되지 않았습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSAuthFail,Authentication failed! (Error /y),인증 실패! (오류 /y ), WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchSConnectFail,Connection failed! (Error /y),연결 실패! (오류 /y ), WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollTitleNext,What happens next?,다음엔 뭘 할까요?, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollTitleBoss,Pick the next boss!,다음 보스를 선택하세요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollTitleRelic,Pick a relic!,유물을 선택하세요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchVote,Vote in chat!,채팅에서 투표하세요!,Vote in chat! WARNING: ENGLISH PLACEHOLDER #####################################################
,Twitchtimevotes," /x left, /y votes"," /x 남음, /y 표", WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchvoted,voted,투표함, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollChatMsg,“ /x ” has won the poll!,"투표 결과: "" /x """, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollResult,won with /x votes, /x 표로 이김, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollItemType,Random /x item,무작위 /x 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollItemRarity,Random /x item,무작위 /x 아이템, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchItemCard,Spawns a random /x item on the next player turn.,다음 플레이어 차례에 무작위 /x 아이템이 생겨납니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchCurseCard,Spawns a random curse on the next player turn.,다음 플레이어 차례에 무작위 저주가 생겨납니다., WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,twitchBlessingCard,Spawns a random blessing on the next player turn.,다음 플레이어 차례에 무작위 축복이 생겨납니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollStatusPlayer,+ /x /y (Player),"+ /x /y (플레이어)

", WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollStatusEnemy,+ /x /y (Enemy),"+ /x /y (적)
", WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollBlessing,Player gets blessed,플레이어가 축복을 받습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollHazard, /x Hazard, /x 위험, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchPollCurse,Player gets cursed,플레이어가 저주를 받습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx1,Oh no!,망할!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx2,Argh!,으악!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx3,Oof!,꺅!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx4,Oh well!,젠장!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx5,Sadge…,아깝..., WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx6,Darn it!,이런!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx7,Better luck next time!,다음엔 행운을 빌어요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathEx8,Try again!,다시 해보세요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,twitchDeathChatMsg, /x /y has died /z times. (/w times this stream), /x /y 님이 /z 번 사망했습니다. (이번 방송에 /w 번), WARNING: ENGLISH PLACEHOLDER #####################################################
,TwitchOrigin,Twitch,트위치, WARNING: ENGLISH PLACEHOLDER #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","개발자 재스의 쪽지: <br><br>저희 게임을 얼리 액세스에서 후원해주셔서 감사드립니다! 백팩 히어로의 개발은 끝난 게 아닙니다! 새로운 기능과 콘텐츠들이 곧 업데이트될 예정입니다! 만약 게임에 목소리를 내고 싶으시다면, 저희에게 얘기해주세요! 저희는 SNS, 스토브, 스팀에서 여러분들과 소통하기 위해 최선을 다하고 있습니다!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,다음 주요 업데이트:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,January,1월, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,earlyAccess3b,March,2월, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,earlyAccess3c,April,4월, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess3d,May and June,"5월, 6월", WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess3e,August,8월, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess3f,September,9월, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess4,Relic Redesigns,캐릭터 리디자인, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,earlyAccess4b,Item updates!,아이템 업데이트!, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,earlyAccess4c,Mod Support!,모드 지원!, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess4d,Enemy Rework,적 리디자인, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess4e,We're removing all curses!,우린 모든 저주를 제거하고 있어!, WARNING: ENGLISH PLACEHOLDER #####################################################
,earlyAccess5,Thank you! From:,감사합니다! 사랑을 담아:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,풀 버전에서는 새로운 캐릭터들과 의상을 사용할 수 있습니다!,
,demo2,Please wishlist and follow us on Steam now!,찜 목록에 추가하고 스팀에서 저희를 팔로우해주세요!,
,demo3,Early Access begins August 2022!,얼리 액세스는 2022년 8월에 시작합니다!,
,demo4,CR-8 coming July 2022!,2022년 7월에 새 캐릭터 CR-8를 기대하세요!,
controller prompts,cpSelect,Select,선택, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpExamine,Examine,조사, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpContext Menu,Context Menu,내용 메뉴, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpPlace,Place,두기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpUse,Use,사용, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpDrop,Drop,버리기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpRotate,Rotate,회전, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpSelect Enemy,Select Enemy,적 선택, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpMove Here,Move Here,여기로 이동, WARNING: ENGLISH PLACEHOLDER #####################################################
,cpPick Up,Pick Up,줍기, WARNING: ENGLISH PLACEHOLDER #####################################################
,holdButton,hold,길게 누르기,Text displayed over buttons that must be held! WARNING: ENGLISH PLACEHOLDER #####################################################
,cpSwap,Swap,바꾸기, WARNING: ENGLISH PLACEHOLDER #####################################################
,pressToStart,Press /x to Start!,Press /x 를 눌러 시작하세요!, WARNING: ENGLISH PLACEHOLDER #####################################################
options,opt1,Music Volume,음악 크기,
,opt2,SFX Volume,음향 크기,
,opt3,Animation Speed,애니메이션 속도, WARNING: ENGLISH TEXT CHANGED #####################################################
,opt4,Brightness,밝기,
,opt5,Rotate,회전,
,opt5b,Click again to drop,다시 클릭해 버리기, WARNING: ENGLISH PLACEHOLDER #####################################################
,optt1,Emojis,이모지, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,전투 애니메이션, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,초당 프레임,
,opt7,Screen Size,스크린 크기,
,opt8,Quality,품질,
,opt8b,Resolution,해상도,
,opt9,Language,언어,
,opt10,Return to Menu,메뉴로 돌아가기,
,opt11,Delete on Game Over,게임 오버 시 삭제, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,저장 없는 게임, WARNING: AUTO-TRANSLATION #####################################################
,opt13,Delete all progress!,모든 진행 사항 삭제!, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt13b,Delete all save games,모든 저장 기록 삭제, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt13c,Reset all tutorials,모든 튜토리얼 초기화, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt14,Are you sure?,확실하신가요?, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt14b,Leave this behind?,두고 떠날까요?, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt15,Yes,네, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt16,No,아니요, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt17,Auto-close map,지도 자동 닫기, WARNING: ENGLISH PLACEHOLDER #####################################################
,optQQ,Group ID /x copied!,그룹 ID /x 복사됨!, WARNING: AUTO-TRANSLATION #####################################################
,opt18,Cursor Speed,커서 속도, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt19,Highlight Items,아이템 강조, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,opt20,Controller Icons,컨트롤러 아이콘, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt21,Return to Orderia,오데리아로 돌아가기, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt21d,This run will be lost,이번 게임이 사라집니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt22,This run will be saved,이번 게임이 저장됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt23,Run cannot be saved here!,여기서는 저장할 수 없습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt24,Snap to Building Grid,빌딩 그리드에 붙이기, WARNING: ENGLISH PLACEHOLDER #####################################################
,optH1,Audio,오디오, WARNING: ENGLISH PLACEHOLDER #####################################################
,optH2,Presentation,디스플레이, WARNING: ENGLISH PLACEHOLDER #####################################################
,optH3,Gameplay,게임플레이, WARNING: ENGLISH PLACEHOLDER #####################################################
,optH4,Social Media,SNS, WARNING: ENGLISH PLACEHOLDER #####################################################
,optH5,Reset Data,데이터 초기화, WARNING: ENGLISH PLACEHOLDER #####################################################
,clickMe,Click me!,나를 클릭하세요!,
,sellHere,Drag to me to Sell,드래그해 판매하세요,
,removeHere,I can remove a carving - for a price,인각 하나를 없애주지... 값만 제대로 치른다면., WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,그건 안 살 거야!,
,noMoreSale,I won't take more items!,더 이상은 사지 않겠어!,
,on,on,켜짐,
,off,off,꺼짐,
,windowed,windowed,창 모드,
,full screen,full screen,전체화면,
,borderless,borderless,테두리 없는 창,
,unlimited,unlimited,무제한,
,low,low,낮음,
,medium,medium,중간,
,high,high,높음,
Item Atlas,ia1,Can only be found by:,다음으로만 찾을 수 있음:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,다음 안에서만 찾을 수 있음:, WARNING: AUTO-TRANSLATION #####################################################
,ia3,Created by:,다음 아이템이 생성함:, WARNING: ENGLISH PLACEHOLDER #####################################################
context menu,cm1,View card,카드 보기,
,cm2,Use item,아이템 사용,
,cm3,Use Item Max Times,아이템 최대 횟수 사용,
,cm4,Reroll Items,아이템 새로 받기,
,cm5,Discover passage,길 발견,
,cm6,Summon enemies,적 소환,
,cm7,Add reward,보상 추가,
,cm8,Duplicate potion,물약 복사,
,cm9,Combine potions,물약 혼합,
,cm10,Flip switch,스위치 사용,
,cm11,Return carving,인각 돌려놓기, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,인각 지우기, WARNING: AUTO-TRANSLATION #####################################################
,cm13,Open Pouch,주머니 열기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm14,Close Pouch,주머니 닫기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm15,View Inventory,인벤토리 보기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm16,Recall Pet,펫 부르기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm17,Sell,팔기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm18,Unlock,열기, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm19,Transform,변환, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm20,Alternate Use,대체 용도, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm20expl,Used with these types:  /x , /x 유형과 함께 사용, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm21,Deselect,선택 취소, WARNING: ENGLISH PLACEHOLDER #####################################################
,cm22,View Research,연구 보기, WARNING: ENGLISH PLACEHOLDER #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,지금 재배치하면 이 아이템을 획득할 수 있습니다!,
,gm1,Finished!,끝!,
,gm2,Must be in an empty room!,빈 방에 있어야 합니다!,
,gm3,Cannot save right now!,지금은 저장할 수 없습니다!,
,gm4,Complete tutorial to save!,튜토리얼을 완수해야 저장할 수 있습니다!,
,gm5,Cannnot save while moving!,이동하는 동안에는 저장할 수 없습니다!,
,gm6,Finale,종장,
,gm7,Part /x of /y,/y 중 /x 장,
,gm7bn,Endless Mode,끝없는 모드, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm7b,Loop Number:  /x , /x 회차, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm8,Finished Choosing,고르기 완료,
,gm9,Can't take more items,더 이상 아이템을 가져갈 수 없습니다,
,gm10,Take /x items, /x 개의 아이템을 가져가세요,
,gm11,Take 1 item,1개의 아이템을 가져가세요,
,gmb,Battle Start!,전투 개시!,
,gmpt,Player Turn!,플레이어 차례!,
,gmet,Enemy Turn!,적 차례!,
,gm12,You win!,이겼습니다!,
,gm13,Level Up!,레벨 업!,
,gm14,Get items!,아이템 얻기!,
,gm14b,End Battle!,전투 끝내기!,
,gm15,Not enough energy,에너지 부족,
,gm16,Any items left outside the backpack will be lost,가방 밖의 아이템은 사라집니다,
,gm17,Finished Reorganizing,재배치 완료,
,gm18,Save Failed! The game was not saved!,저장에 실패했습니다!, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm19,You have been cursed!,저주에 걸렸습니다!,
,gm20,Skip /x items. , /x 개의 아이템을 무시합니다., WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm20b,Take /x damage, /x 의 피해를 받습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm21,Choose an item,아이템을 선택하세요,
,gm22,Never Mind,됐어요,
,gm23,You must place all items!,모든 아이템을 둬야 합니다!, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm24,Cannot be combined with selected item,선택한 아이템과 조합할 수 없습니다,
,gm25,Cannot be used!,사용할 수 없음!,
,gm25b,Cannot be used right now,지금은 사용할 수 없어, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm26,Not enough connected Mana,연결된 마나가 부족합니다,
,gm27,Not enough Gold,골드가 부족합니다,
,gm27Halloween,You don't have a candy pail with 7 items!,사탕 통에 아이템 7개가 없습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm28,No more uses this combat,이 전투에서 사용할 수 있는 횟수가 고갈됐습니다,
,gm29,No more uses this turn,이 차례에서 사용할 수 있는 횟수가 고갈됐습니다,
,gm30,No more uses,사용할 수 있는 횟수가 고갈됐습니다,
,gm31,This item is disabled,이 아이템은 비활성화됐습니다,
,gm32,Anchored,정박함,
,gm33,Cannot move a curse,저주를 옮길 수 없습니다,
,gm34,Cannot move here,여기로 옮길 수 없습니다,
,gm35,Cannot afford,골드가 부족합니다,
,gm36,Cannot place here,여기에 배치할 수 없습니다,
,gm37,Finish Battle to Continue,계속하려면 전투를 끝내세요,
,gm38,Can't move here!,여기로 이동할 수 없습니다!,
,gm39,Pathway blocked!,길이 막혔습니다!,
,gm40,Game Loaded,게임을 불러왔습니다,
,gm41,Game Saved,게임을 저장했습니다,
,gmillusory,Illusory spaces can only hold carvings,환상의 칸에는 인각만 넣을 수 있습니다, WARNING: AUTO-TRANSLATION #####################################################
,gmPetBags,Pets can only hold treats!,펫은 간식만 들고 다닐 수 있습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,retry,retry,다시 도전하기,
,gm42,Choose /x spaces, /x 개의 칸을 선택하세요,
,gm43,Carvings cannot be played while reorganizing,재배치를 하는 중에는 인각을 사용할 수 없습니다,
,gm44,You cannot leave this item behind: ,다음 아이템을 버리고 갈 수 없습니다:, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm45,Item has an invalid placement,유효하지 않은 아이템 배치입니다, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,텍스트를 입력하세요..., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes!,더 많은 게임 모드!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm48,Item cannot be forged further,이미 강화한 아이템입니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm49,This item can be upgraded /x time(s) at forges,이 아이템은 제련소에서 /x 번 강화할 수 있습니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm50,Already active,이미 활성화됐습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm51,Already summoned!,이미 소환했습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm52,You must summon this pet!,이 펫을 소환해야 합니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm53,Pet is defeated!,펫이 기절했습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm54,Only Pochette can carry this!,포셰트만 가질 수 있습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm55,Too many pets!,펫이 너무 많습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm56,Must have a pet in front!,앞에 펫이 있어야 합니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm57,Pet gains:,펫이 획득:, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm58,You cannot remove an uncleansed curse,정화되지 않은 저주는 제거할 수 없습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,gm59,Cannot use outside of battle,전투 중이 아닐 때는 사용할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm60,Cannot use in battle,전투 중에는 사용할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm61,Can only use when choosing combat rewards,전투 보상을 선택할 때만 사용할 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm62,Cannot use until you buy!,구매할 때까지는 사용할 수 없습니다!, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm63,An item of this type can be used in research at Haversack Hill,이 유형의 아이템은 헤이버색 힐에서 연구에 사용할 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm63b,This specific item can be used in research at Haversack Hill,이 특정 아이템은 헤이버색 힐에서 연구에 사용할 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
