Category,Key,English,Korean,Notes
,twitchSNoAuth,Not Authenticated,인증되지 않음,
,twitchSNotConnected,Not Connected,연결되지 않음,
,twitchSConnectedTo,You’re all set! Connected to /y.,/y에 연결했습니다.,
,twitchSAuthenticating,Authenticating…,인증 중...,
,twitchSConnecting,Connecting…,연결 중...,
,twitchSLoggedIn,"Logged In, but not connected.",로그인했지만 연결되지 않았습니다.,
,twitchSAuthFail,Authentication failed! (Error /y),인증 실패! (오류 /y),
,twitchSConnectFail,Connection failed! (Error /y),연결 실패! (오류 /y),
,twitchPollTitleNext,What happens next?,다음엔 뭘 할까요?,
,twitchPollTitleBoss,Pick the next boss!,다음 보스를 선택하세요!,
,twitchPollTitleRelic,Pick a relic!,유물을 선택하세요!,
,twitchVote,Vote in chat!,채팅에서 투표하세요!,Vote in chat!
,Twitchtimevotes,"/x left, /y votes","/x 남음, /y표",
,twitchvoted,voted,투표함,
,twitchPollChatMsg,“/x” has won the poll!,"투표 결과: ""/x""",
,twitchPollResult,won with /x votes,/x표로 이김,
,twitchPollItemType,Random /x item,무작위 /x 아이템,
,twitchPollItemRarity,Random /x item,무작위 /x 아이템,
,twitchItemCard,Spawns a random /x item on the next player turn.,다음 플레이어 차례에 무작위 /x 아이템이 생겨납니다.,
,twitchCurseCard,Spawns a random curse on the next player turn.,다음 플레이어 차례에 무작위 저주가 생겨납니다.,
,twitchBlessingCard,Spawns a random blessing on the next player turn.,다음 플레이어 차례에 무작위 축복이 생겨납니다.,
,twitchPollStatusPlayer,+/x /y (Player),#ERROR!,
,twitchPollStatusEnemy,+/x /y (Enemy),#ERROR!,
,twitchPollBlessing,Player gets blessed,플레이어가 축복을 받습니다,
,twitchPollHazard,/x Hazard,/x 위험,
,twitchPollCurse,Player gets cursed,플레이어가 저주를 받습니다,
,twitchDeathEx1,Oh no!,망할!,
,twitchDeathEx2,Argh!,으악!,
,twitchDeathEx3,Oof!,꺅!,
,twitchDeathEx4,Oh well!,젠장!,
,twitchDeathEx5,Sadge…,아깝...,
,twitchDeathEx6,Darn it!,이런!,
,twitchDeathEx7,Better luck next time!,다음엔 행운을 빌어요!,
,twitchDeathEx8,Try again!,다시 해보세요!,
,twitchDeathChatMsg,/x /y has died /z times. (/w times this stream),/x /y님이 /z번 사망했습니다. (이번 방송에 /w번),
,TwitchOrigin,Twitch,트위치,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","개발자 재스의 쪽지: <br><br>저희 게임을 얼리 액세스에서 후원해주셔서 감사드립니다! 백팩 히어로의 개발은 끝난 게 아닙니다! 새로운 기능과 콘텐츠들이 곧 업데이트될 예정입니다! 만약 게임에 목소리를 내고 싶으시다면, 저희에게 얘기해주세요! 저희는 SNS, 스토브, 스팀에서 여러분들과 소통하기 위해 최선을 다하고 있습니다!",
,earlyAccess2,Next Major Update:,다음 주요 업데이트:,
,earlyAccess3,January,1월,
,earlyAccess3b,March,2월,
,earlyAccess3c,April,4월,
,earlyAccess3d,May and June,"5월, 6월",
,earlyAccess3e,August,8월,
,earlyAccess3f,September,9월,
,earlyAccess4,Relic Redesigns,캐릭터 리디자인,
,earlyAccess4b,Item updates!,아이템 업데이트!,
,earlyAccess4c,Mod Support!,모드 지원!,
,earlyAccess4d,Enemy Rework,적 재설정,
,earlyAccess4e,We're removing all curses!,모든 저주를 제거합니다!,
,earlyAccess5,Thank you! From:,감사합니다! 사랑을 담아:,
demo Text,demo1,New characters and costumes are available in the full version!,풀 버전에서는 새로운 캐릭터들과 의상을 사용할 수 있습니다!,
,demo2,Please wishlist and follow us on Steam now!,찜 목록에 추가하고 스팀에서 저희를 팔로우해주세요!,
,demo3,Early Access begins August 2022!,얼리 액세스는 2022년 8월에 시작합니다!,
,demo4,CR-8 coming July 2022!,2022년 7월에 새 캐릭터 CR-8를 기대하세요!,
controller prompts,cpSelect,Select,선택,
,cpExamine,Examine,조사,
,cpContext Menu,Context Menu,내용 메뉴,
,cpPlace,Place,두기,
,cpUse,Use,사용,
,cpDrop,Drop,버리기,
,cpRotate,Rotate,회전,
,cpSelect Enemy,Select Enemy,적 선택,
,cpMove Here,Move Here,여기로 이동,
,cpPick Up,Pick Up,줍기,
,holdButton,hold,길게 누르기,Text displayed over buttons that must be held!
,cpSwap,Swap,바꾸기,
,pressToStart,Press /x to Start!,/x를 눌러 시작하세요!,
options,opt1,Music Volume,음악 크기,
,opt2,SFX Volume,음향 크기,
,opt3,Animation Speed,애니메이션 속도,
,opt4,Brightness,밝기,
,opt5,Rotate,회전,
,opt5b,Click again to drop,다시 클릭해 버리기,
,optt1,Emojis,이모지,
,optt2,Combat Animations,전투 애니메이션,
,opt6,FPS,초당 프레임,
,opt7,Screen Size,스크린 크기,
,opt8,Quality,품질,
,opt8b,Resolution,해상도,
,opt9,Language,언어,
,opt10,Return to Menu,메뉴로 돌아가기,
,opt11,Delete on Game Over,게임 오버 시 삭제,
,opt12,No save games,저장 없는 게임,
,opt13,Delete all progress!,모든 진행 사항 삭제!,
,opt13b,Delete all save games,모든 저장 기록 삭제,
,opt13c,Reset all tutorials,모든 튜토리얼 초기화,
,opt14,Are you sure?,확실하신가요?,
,opt14b,Leave this behind?,두고 떠날까요?,
,opt15,Yes,네,
,opt16,No,아니요,
,opt17,Auto-close map,지도 자동 닫기,
,optQQ,Group ID /x copied!,그룹 ID /x 복사됨!,
,opt18,Cursor Speed,커서 속도,
,opt19,Highlight Items,아이템 강조,
,opt20,Controller Icons,컨트롤러 아이콘,
,opt21,Return to Orderia,오데리아로 돌아가기,
,opt21d,This run will be lost,이번 게임이 사라집니다,
,opt22,This run will be saved,이번 게임이 저장됩니다,
,opt23,Run cannot be saved here!,여기서는 저장할 수 없습니다!,
,opt24,Snap to Building Grid,빌딩 그리드에 붙이기,
,optHoliday,Enable Holiday Events,휴일 이벤트 활성화, WARNING: ENGLISH PLACEHOLDER #####################################################
,optHolidayMSG,Please restart the game!,게임을 다시 시작해 주세요!, WARNING: ENGLISH PLACEHOLDER #####################################################
,opt25,Reverse A and B,A와 B 전환,
,opt26,Reverse X and Y ,X와 Y 전환,
,optH1,Audio,오디오,
,optH2,Presentation,디스플레이,
,optH3,Gameplay,게임플레이,
,optH4,Social Media,SNS,
,optH5,Reset Data,데이터 초기화,
,clickMe,Click me!,나를 클릭하세요!,
,sellHere,Drag to me to Sell,드래그해 판매하세요,
,removeHere,I can remove a carving - for a price,인각 하나를 없애주지... 값만 제대로 치른다면.,
,cantSell,I don't buy those!,그건 안 살 거야!,
,noMoreSale,I won't take more items!,더 이상은 사지 않겠어!,
,on,on,켜짐,
,off,off,꺼짐,
,windowed,windowed,창 모드,
,full screen,full screen,전체화면,
,borderless,borderless,테두리 없는 창,
,unlimited,unlimited,무제한,
,low,low,낮음,
,medium,medium,중간,
,high,high,높음,
Item Atlas,ia1,Can only be found by:,다음으로만 찾을 수 있음:,
,ia2,Can only be found in:,다음 안에서만 찾을 수 있음:,
,ia3,Created by:,다음 아이템이 생성함:,
context menu,cm1,View card,카드 보기,
,cm2,Use item,아이템 사용,
,cm3,Use Item Max Times,아이템 최대 횟수 사용,
,cm4,Reroll Items,아이템 새로 받기,
,cm5,Discover passage,길 발견,
,cm6,Summon enemies,적 소환,
,cm7,Add reward,보상 추가,
,cm8,Duplicate potion,물약 복사,
,cm9,Combine potions,물약 혼합,
,cm10,Flip switch,스위치 사용,
,cm11,Return carving,인각 돌려놓기,
,cm12,Remove carving,인각 지우기,
,cm13,Open Pouch,주머니 열기,
,cm14,Close Pouch,주머니 닫기,
,cm15,View Inventory,인벤토리 보기,
,cm16,Recall Pet,펫 부르기,
,cm17,Sell,팔기,
,cm18,Unlock,열기,
,cm19,Transform,변환,
,cm20,Alternate Use,대체 용도,
,cm20expl,Used with these types: /x,/x 유형과 함께 사용,
,cm20explAny,Used with another item,다른 아이템과 함께 사용,
,cm21,Deselect,선택 취소,
,cm22,View Research,연구 보기,
gameManagerMessages,gmreo,Reorganize now to claim this item!,지금 재배치하면 이 아이템을 획득할 수 있습니다!,
,gm1,Finished!,끝!,
,gm2,Must be in an empty room!,빈 방에 있어야 합니다!,
,gm3,Cannot save right now!,지금은 저장할 수 없습니다!,
,gm4,Complete tutorial to save!,튜토리얼을 완수해야 저장할 수 있습니다!,
,gm5,Cannnot save while moving!,이동하는 동안에는 저장할 수 없습니다!,
,gm6,Finale,종장,
,gm7,Part /x of /y,/y중 /x장,
,gm7bn,Endless Mode,끝없는 모드,
,gm7b,Loop Number: /x,/x회차,
,gm8,Finished Choosing,고르기 완료,
,gm9,Can't take more items,더 이상 아이템을 가져갈 수 없습니다,
,gm10,Take /x items,/x개의 아이템을 가져가세요,
,gm11,Take 1 item,1개의 아이템을 가져가세요,
,gmb,Battle Start!,전투 개시!,
,gmpt,Player Turn!,플레이어 차례!,
,gmet,Enemy Turn!,적 차례!,
,gm12,You win!,이겼습니다!,
,gm13,Level Up!,레벨 업!,
,gm14,Get items!,아이템 얻기!,
,gm14b,End Battle!,전투 끝내기!,
,gm15,Not enough energy,에너지 부족,
,gm16,Any items left outside the backpack will be lost,가방 밖의 아이템은 사라집니다,
,gm17,Finished Reorganizing,재배치 완료,
,gm18,Save Failed! The game was not saved!,저장에 실패했습니다!,
,gm19,You have been cursed!,저주에 걸렸습니다!,
,gm20,Skip /x items. ,/x개의 아이템을 무시합니다.,
,gm20b,Take /x damage,/x의 피해를 받습니다,
,gm21,Choose an item,아이템을 선택하세요,
,gm22,Never Mind,됐어요,as a response when not selecting an item
,gm23,You must place all items!,모든 아이템을 둬야 합니다!,
,gm24,Cannot be combined with selected item,선택한 아이템과 조합할 수 없습니다,
,gm25,Cannot be used!,사용할 수 없음!,
,gm25b,Cannot be used right now,지금 사용할 수 없습니다,
,gm26,Not enough connected Mana,연결된 마나가 부족합니다,
,gm27,Not enough Gold,골드가 부족합니다,
,gm27Halloween,You don't have a candy pail with 7 items!,사탕 통에 아이템 7개가 없습니다!,
,gm28,No more uses this combat,이 전투에서 사용할 수 있는 횟수가 고갈됐습니다,
,gm29,No more uses this turn,이 차례에서 사용할 수 있는 횟수가 고갈됐습니다,
,gm30,No more uses,사용할 수 있는 횟수가 고갈됐습니다,
,gm31,This item is disabled,이 아이템은 비활성화됐습니다,
,gm32,Anchored,정박함,
,gm33,Cannot move a curse,저주를 옮길 수 없습니다,
,gm34,Cannot move here,여기로 옮길 수 없습니다,
,gm35,Cannot afford,골드가 부족합니다,
,gm36,Cannot place here,여기에 배치할 수 없습니다,
,gm36a,Overlapping building,건물이 겹쳤습니다,
,gm36b,Cannot build on water,물에는 건물을 지을 수 없습니다,
,gm36c,Blocking entrance,입구가 막혔습니다,
,gm36d,Must be near the woods!,숲 근처에 지으세요！,
,gm36e,Out of Bounds,경계 밖입니다,
,gm37,Finish Battle to Continue,계속하려면 전투를 끝내세요,
,gm37b,You cannot leave this event,이벤트를 종료할 수 없습니다,
,gm38,Can't move here!,여기로 이동할 수 없습니다!,
,gm39,Pathway blocked!,길이 막혔습니다!,
,gm40,Game Loaded,게임을 불러왔습니다,
,gm41,Game Saved,게임을 저장했습니다,
,gmillusory,Illusory spaces can only hold carvings,환상의 칸에는 인각만 넣을 수 있습니다,
,gmPetBags,Pets can only hold treats!,펫은 간식만 들고 다닐 수 있습니다!,
,retry,retry,다시 도전하기,
,gm42,Choose /x spaces,/x개의 칸을 선택하세요,
,gm43,Carvings cannot be played while reorganizing,재배치를 하는 중에는 인각을 사용할 수 없습니다,
,gm44,You cannot leave this item behind: ,다음 아이템을 버리고 갈 수 없습니다:,
,gm45,Item has an invalid placement,유효하지 않은 아이템 배치입니다,
,gm46,Enter text. . .,텍스트를 입력하세요...,
,gm47,More Game Modes!,더 많은 게임 모드!,
,gm48,Item cannot be forged further,이미 강화한 아이템입니다,
,gm49,This item can be upgraded /x time(s) at forges,이 아이템은 제련소에서 /x번 강화할 수 있습니다,
,gm50,Already active,이미 활성화됐습니다,
,gm51,Already summoned!,이미 소환했습니다!,
,gm52,You must summon this pet!,이 펫을 소환해야 합니다!,
,gm53,Pet is defeated!,펫이 기절했습니다!,
,gm54,Only Pochette can carry this!,포셰트만 가질 수 있습니다!,
,gm55,Too many pets!,펫이 너무 많습니다!,
,gm56,Must have a pet in front!,앞에 펫이 있어야 합니다!,
,gm57,Pet gains:,펫이 획득:,
,gm58,You cannot remove an uncleansed curse,정화되지 않은 저주는 제거할 수 없습니다.,
,gm59,Cannot use outside of battle,전투 중이 아닐 때는 사용할 수 없습니다,
,gm60,Cannot use in battle,전투 중에는 사용할 수 없습니다,
,gm61,Can only use when choosing combat rewards,전투 보상을 선택할 때만 사용할 수 있습니다,
,gm62,Cannot use until you buy!,구매할 때까지는 사용할 수 없습니다!,
,gm63,An item of this type can be used in research at Haversack Hill,이 유형의 아이템은 헤이버색 힐에서 연구에 사용할 수 있습니다,
,gm63b,This specific item can be used in research at Haversack Hill,이 특정 아이템은 헤이버색 힐에서 연구에 사용할 수 있습니다,
,gm63c,This item can be used in research that you bookmarked,이 아이템은 북마크한 연구에 사용할 수 있습니다,
,gm64,Complete,완료,
,gm64b,This item cannot be researched!,이 아이템은 연구할 수 없습니다!,
,gm64c,This item has a use in Haversack Hill,이 아이템은 헤이버색 힐에서 사용할 수 있습니다,
,gm64d,Someone in Haversack Hill may know more!,해버색 힐의 누군가가 더 많은 것을 알고 있을지도 모릅니다!,
,gm65,New Item Unlocked,새 아이템이 해금되었습니다,
,gm65b,New Items Unlocked!,새 아이템이 해금되었습니다!,
,gm66,A New Hero!,새 영웅!,
,gm67,Current,현재,
,gm68,Completed,완료,
,gm69,Delete this save?,이 저장 기록을 삭제할까요?,
,gm70,This cannot be undone!,되돌릴 수 없습니다!,
,gm71,New Construction!,새 건축물!,
,gm72,New Quest!,새 퀘스트!,
,gm72b,New Lore!,새 이야기!,
,gm72c,New Costume!,새 의상!,
,gm72d,New Area!,새 구역!,
,gm72e,New Unlock!,새 해금!,
,gm73,Take All,모두 받기,
,gm74,Give All,모두 주기,
,gm74b,Give All (Non-Researchable),모두 주기 (연구 불가),
,gm75,Sell Items,아이템 판매,
,gm76,A mysterious relic,수수께끼의 유물,
,gm77,Research,연구,
,gm78,You don't know the way yet. Try again once you have gone deeper,아직 방법을 모릅니다. 더 깊이 들어간 후 다시 시도하세요,
,gm79,Choose an item to save,저장할 아이템을 선택하세요,
,gm80,Nothing Selected,선택하지 않았습니다,
,gm81,Cannot be moved!,옮길 수 없습니다!,
,gm82,Cannot place on water,물에는 배치할 수 없습니다,
,gm83,Bridge cannot be placed here,여기에 다리를 배치할 수 없습니다,
,gm84,To complete this research you need an item that is: <br>   /x <br>   /y,이 연구를 완료하려면 필요한 아이템: <br> /x <br> /y,E.G. To complete this research you need a rare weapon item
,gm85,To complete this research you need /x /y,이 연구를 완료하려면 필요한 아이템: /x /y,E.G. To complete this research you need 100 food
,gm86,Must be empty!,비어 있어야 합니다!,
,gm87,Destroy,파괴,
,gm88,Bookmark,북마크,
,gm89,Core cannot be used indirectly,코어는 간접적으로 사용할 수 없습니다,
,gm90,Relics cannot be refreshed,유물은 초기화할 수 없습니다,
,gm91,Lucky!,대박!,
,gm92,Not enough population!,인구가 부족합니다,
,gm93,Sort By,정렬 기준, WARNING: ENGLISH PLACEHOLDER #####################################################
,gm94,Name,이름, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm95,Type,유형, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm96,Rarity,희귀도, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm97,Welcome to,헤이버색 힐에 오신 걸,
,gm97b,Haversack Hill,환영합니다,
,gm98,Cannot be sold,판매 불가, WARNING: ENGLISH PLACEHOLDER #####################################################
,gmAN1,"This game uses Unity Analytics to record player data. This is used exclusively to balance the game. By clicking ""Accept"" - you agree to share this data. If you cannot legally give permission, please click ""Do not accept""","이 게임은 유니티 애널리틱스를 이용해 플레이어 데이터를 기록합니다. 이 기록은 게임의 밸런스를 맞추기 위해서만 사용됩니다. ""동의""를 누름으로써, 이 데이터를 수집하는 데에 동의하실 수 있습니다. 만약 법적으로 권한을 줄 수 없다면, ""동의하지 않음""을 눌러주세요.",
,gmanb1,Accept,동의,
,gmanb2,Do not accept,동의하지 않음,
,gmCR81,You cannot leave your core behind,코어는 버리고 갈 수 없습니다,
,gmSatchel1,Items must be placed on a rune space!,아이템을 룬 칸에 배치해야 합니다!,
,gmSatchel2,You can't move items once they're crammed in!,아이템이 꽉 차면 이동시킬 수 없습니다!,
,gmSatchel3,There's no space to cram it in!,욱여넣을 칸이 없습니다!,
,show backpack,show backpack,가방 보기,
,show map,show map,지도 보기,
Cinematic,cinematic1,"In the deep, dark dungeons beneath Orderia...",오데리아 지하 어둠이 짙은 던전 속에서,
,cinematic2,A young packrat searches for treasure...,새끼 쥐가 보물을 찾고 있습니다,
,cinematic3,There she discovers a mysterious relic...,그곳에는 신비한 유물이 있었습니다,
,cinematicB1,"""The Dungeon"" used to be called ""The Bounty""",던전은 보물이라고도 불립니다,
,cinematicB2,It gave us everything we dreamed of,던전에는 우리가 꿈꾸는 모든 것이 있습니다,
,cinematicB3,But chaos is growing within...,하지만 혼란이 그 속에서 움트고 있죠,
,cinematicEnd1,Oh Purse... I got all mixed up down here...,퍼스... 여긴 나 때문에 다 엉망이야...,  WARNING: ENGLISH TEXT CHANGED #####################################################
,cinematicEnd2,I knew you would set everything right...,네가 모든 걸 바로잡을 줄 알았어..., WARNING: ENGLISH TEXT CHANGED #####################################################
,endCredits1,Conglaturation,축하합니다!,
,endCredits2,You have completed a great quest,당신은 위대한 퀘스트를 완료했습니다,
,endCredits3,You truly are a Backpack Hero,당신은 진정한 백팩 영웅입니다,
,endCredits1b,Congratulations!,축하합니다!,
,endCredits2b,We hope you had fun!,즐거운 시간이 였기를 바랍니다!,
,endCredits3b,Thank you for playing!,플레이해 주셔서 감사합니다!,
Tote,gmTote1,Carvings must be placed in your Backpack,인각은 가방 안에 배치해야 합니다,
,gmTote2,Carvings in hand,보유한 인각,
,gmTote3,Discarded Carvings,버린 인각,
,gmTote4,Banished Carvings,추방된 인각,
Run Types,rt1,standard,일반,
,rt1d,A basic run with no special settings!,특별한 설정 없는 기본적인 게임입니다!,
,rt0t,Tutorial,튜토리얼,
,rt0td,Learn to play as this character. Highly recommended!,이 캐릭터로 플레이하는 방법을 배우세요. 강력 추천!,
,rt2,No experience,경험치 없이,
,rt3,Bombs Away,폭탄 받아라,
,rt4,Easy Mode,쉬운 모드,
,rt5,Hard Mode,어려운 모드,
,rt5b,Hard Mode 2,어려운 모드 2,
,rt5c,Hard Mode 3,어려운 모드 3,
,rt5dd,Hard Mode 4,어려운 모드 4,
,rt5v5,Hard Mode 5,어려운 모드 5,
,rt5e,Unfair Mode,불공정한 모드,
,rt5f,Hard Puzzle Mode,어려운 퍼즐 모드,
,rt6,Pauper Mode,거지 모드,
,rt7,Glass Cannon,유리 대포,
,rt8,5 by 5 challenge,5 대 5 챌린지,
,rt8b,5 by 7 challenge,5 대 7 챌린지,
,rt9,Another way,다른 길,
,rt10,Big Mode,큰 모드,
,rt11,Classic Matthew,일반 매튜,
,rt11d,Start the game from the original version of Matthew!,매튜의 오리지널 버전에서 게임을 시작합니다!,
,rt12,Endless Dream,끝나지 않는 꿈,
,rt13,Great Pair,완벽한 한 쌍,
,rt14,Horrible Curse,끔찍한 저주,
,rt15,Horrible Luck,끔찍한 운,
,rt16,Lethal,치명적,
,rt17,Penny Pincher,구두쇠,
,rt18,Puzzle Mode,퍼즐 모드,
,rt19,Quick and Easy,빠르고 쉽게,
,rt20,Scaling Energy,커지는 에너지,
,rt21,Small Paws,작은 손,
,rt22,Standard Energy,표준 에너지,
,rt23,Strong Start,강력한 시작,
,rt24,Trash Blaster,쓰레기 날리기,
,rt25,Wrecked Relics,망가진 유물들,
,rt26,Boss Rush,보스 러시,
,rt27,Ever changing,변화무쌍,
,rt28,Adaptive,적응형,
,rt29,Forge Frenzy,용광로를 지펴라,
,rt30,Bird Ninja,새 닌자,
,rt31,Builder Bird,건축가 새,
,rt32,Battle Hardened,전투로 단련,
,rt33,More Loot,더 많은 보물,
,rt34,Happy Halloween!,해피 할로윈!,
,rt35,Happy Holidays!,행복한 연휴 되세요!,
,rt36,Happy Love Day!,사랑 가득한 하루 되세요!,
,Run modifier,Run modifier,게임 수정사항,
,rtDemo,Demo,데모,
,rtDemod,Play the demo mode now! Steam Early Access is available now - with all these other game modes! <br><br>Coming to consoles May 2023!,지금 데모 모드를 플레이하세요! 스팀 얼리 액세스에서 다른 게임 모드도 만날 수 있습니다! <br><br>2023년 5월에 콘솔로도 출시됩니다!,
,Dungeon Event - Fight,Enemy Encounter,적과 조우,
,Random Event,Random Event,무작위 상황,
Item Atlas,Items,Items,아이템,
,Enemies,Enemies,적,
,Information,Information,정보,
,Tutorials,Tutorials,튜토리얼,
,Lore,Lore,전승,
,Research,Research,연구,
Run Type Text,rte1,Has been completed!,완수했습니다!,
,rte2b,This run was unlocked by completing:,다음을 완수해 해금됐습니다:,
,rte2,This run is locked until you complete:,다음을 완수해야 해금할 수 있습니다:,
,rte3,Locked!,잠김!,
Run Type Descriptors,rtd1,You cannot earn experience,경험치를 얻을 수 없습니다,
,rtd2,You start with these items. You must keep them the entire run:,"다음 아이템들을 가지고 시작하고, 게임 내내 가지고 있어야 합니다:",
,rtd3,You can take /x items after each standard battle,일반 전투 이후 /x개의 아이템을 가져갈 수 있습니다,
,rtd4,/x to max health,최대 체력에 /x,
,rtd5,/x% each time you earn xp,경험치를 얻을 때마다 /x%,
,rtd6,/x% each time you earn gold,골드를 얻을 때마다 /x%,
,rtd7,/x% to enemy health,적 체력에 /x%,
,rtd8,Backpack limited to /x spaces wide,최대 가방 너비 /x,
,rtd9,You can only find common and uncommon items,"흔함, 드묾 희귀도의 아이템만 발견할 수 있습니다",
,rtd10,You start with these items:,이 아이템들을 가지고 시작합니다:,
,rtd11,You cannot find these items:,이 아이템들을 찾을 수 없습니다:,
,rtd12,Standard chests contain /x items,일반 상자에 /x개의 아이템이 들어있습니다,
,rtd13,Enemy attacks get /x% damage,적들이 /x%의 피해를 입힙니다,
,rtd14,You cannot find items of this type:,다음 종류의 아이템을 찾을 수 없습니다:,
,rtd15,All weapons receive /x% bonus damage,모든 무기에 /x% 추가 피해가 적용됩니다,
,rtd16,/x% to luck,운에 /x%,
,rtd17,All status effects deal damage and disappear each turn,모든 상태 효과가 각 차례에 피해를 입히고 사라집니다,
,rtd18,Start the game from Matthew,매튜와 함께 게임을 시작합니다,
,rtd19,Your max health is /x,최대 체력이 /x입니다,
,rtd20,Instead of standard items - find a chest after each combat,전투 후 일반적인 아이템 대신 상자가 나옵니다,
,rtd21,Instead of standard items - find a store after each combat,전투 후 일반적인 아이템 대신 상점이 나옵니다,
,rtd22,You can only find /x space items,/x칸의 크기의 아이템만 찾을 수 있습니다,
,rtd23,You can only find items that are /x spaces or larger,/x칸 이상의 크기의 아이템만 찾을 수 있습니다,
,rtd24,Your energy starts at /x and increases each turn,"전투를 /x의 에너지로 시작하고, 매 차례 에너지가 증가합니다",
